<TCP> 0.05: Completed Requests: 2000, Min: 0.0830000000003963, Max: 0.285000000001361, Mean: 0.169948000000271, 99th Perc: 0.254000000001213, MeanIC: 0.99995, FlowsMissed: 0
<EDF-NP> 0.05: Completed Requests: 2000, Min: 0.0820000000003915, Max: 0.294000000001404, Mean: 0.168291500000804, 99th Perc: 0.258000000001232, MeanIC: 0.999370555555555, FlowsMissed: 0
<EDF-P> 0.05: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.293999999993048, Mean: 0.168303499996306, 99th Perc: 0.257999999993899, MeanIC: 0.99955, FlowsMissed: 0
<Vriksha> 0.05: Completed Requests: 2000, Min: 0.0829999999980373, Max: 0.272999999993544, Mean: 0.165873999996078, 99th Perc: 0.249999999994088, MeanIC: 0.999716666666667, FlowsMissed: 0
<TCP> 0.048: Completed Requests: 2000, Min: 0.0879999999979191, Max: 0.282999999993308, Mean: 0.17042549999597, 99th Perc: 0.255999999993946, MeanIC: 0.999666666666667, FlowsMissed: 0
<EDF-NP> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.291999999993095, Mean: 0.168594499996013, 99th Perc: 0.253999999993994, MeanIC: 0.999638333333333, FlowsMissed: 0
<EDF-P> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.291999999993095, Mean: 0.168594499996013, 99th Perc: 0.253999999993994, MeanIC: 0.999638333333333, FlowsMissed: 0
<Vriksha> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.271999999993568, Mean: 0.166644499996059, 99th Perc: 0.241999999994277, MeanIC: 0.9999, FlowsMissed: 0
<TCP> 0.046: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.293999999993048, Mean: 0.169664499995988, 99th Perc: 0.258999999993875, MeanIC: 0.999266666666667, FlowsMissed: 0
<EDF-NP> 0.046: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.300999999992882, Mean: 0.168817499996008, 99th Perc: 0.253999999993994, MeanIC: 0.999130555555556, FlowsMissed: 0
<EDF-P> 0.046: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.300999999992882, Mean: 0.168817499996008, 99th Perc: 0.253999999993994, MeanIC: 0.999130555555556, FlowsMissed: 0
<Vriksha> 0.046: Completed Requests: 2000, Min: 0.0829999999980373, Max: 0.280999999993355, Mean: 0.166531999996062, 99th Perc: 0.24399999999423, MeanIC: 0.999466666666667, FlowsMissed: 0
<TCP> 0.044: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.284999999993261, Mean: 0.16998349999598, 99th Perc: 0.249999999994088, MeanIC: 0.999816666666667, FlowsMissed: 0
<EDF-NP> 0.044: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.290999999993119, Mean: 0.168158499996024, 99th Perc: 0.249999999994088, MeanIC: 0.999480555555556, FlowsMissed: 0
<EDF-P> 0.044: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.290999999993119, Mean: 0.168158499996024, 99th Perc: 0.249999999994088, MeanIC: 0.999480555555556, FlowsMissed: 0
<Vriksha> 0.044: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.273999999993521, Mean: 0.165848499996078, 99th Perc: 0.24399999999423, MeanIC: 0.999451666666667, FlowsMissed: 0
<TCP> 0.042: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.283999999993284, Mean: 0.170331999995972, 99th Perc: 0.252999999994017, MeanIC: 0.9993, FlowsMissed: 0
<EDF-NP> 0.042: Completed Requests: 2000, Min: 0.0829999999980373, Max: 0.30699999999274, Mean: 0.168538999996015, 99th Perc: 0.25499999999397, MeanIC: 0.998761111111112, FlowsMissed: 0
<EDF-P> 0.042: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.307000000062544, Mean: 0.16852200001881, 99th Perc: 0.25500000005195, MeanIC: 0.99826388888889, FlowsMissed: 1
<Vriksha> 0.042: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.275000000056025, Mean: 0.165400000033696, 99th Perc: 0.241000000049098, MeanIC: 0.998929444444444, FlowsMissed: 0
<TCP> 0.04: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.290000000059081, Mean: 0.170498000034735, 99th Perc: 0.259000000052765, MeanIC: 0.999166666666667, FlowsMissed: 0
<EDF-NP> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.291000000059285, Mean: 0.171070500034852, 99th Perc: 0.258000000052562, MeanIC: 0.997329444444445, FlowsMissed: 0
<EDF-P> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.291000000059285, Mean: 0.171070500034852, 99th Perc: 0.258000000052562, MeanIC: 0.997329444444445, FlowsMissed: 0
<Vriksha> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.272000000055414, Mean: 0.16649650003392, 99th Perc: 0.248000000050524, MeanIC: 0.999133333333333, FlowsMissed: 0
<TCP> 0.038: Completed Requests: 2000, Min: 0.088000000017928, Max: 0.285000000058062, Mean: 0.172155500035073, 99th Perc: 0.260000000052969, MeanIC: 0.998733333333333, FlowsMissed: 0
<EDF-NP> 0.038: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.282000000057451, Mean: 0.170300000034695, 99th Perc: 0.257000000052358, MeanIC: 0.996786111111111, FlowsMissed: 0
<EDF-P> 0.038: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.282000000057451, Mean: 0.170300000034695, 99th Perc: 0.257000000052358, MeanIC: 0.996786111111111, FlowsMissed: 0
<Vriksha> 0.038: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.272000000055414, Mean: 0.167320000034088, 99th Perc: 0.245000000049913, MeanIC: 0.997752777777778, FlowsMissed: 0
<TCP> 0.036: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.292000000059488, Mean: 0.173578000035363, 99th Perc: 0.259000000052765, MeanIC: 0.9988, FlowsMissed: 0
<EDF-NP> 0.036: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.282000000057451, Mean: 0.170139000034662, 99th Perc: 0.25500000005195, MeanIC: 0.995999444444445, FlowsMissed: 0
<EDF-P> 0.036: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.282000000057451, Mean: 0.170139000034662, 99th Perc: 0.25500000005195, MeanIC: 0.995999444444445, FlowsMissed: 0
