<TCP> 0.05: Completed Requests: 2000, Min: 0.0830000000003963, Max: 0.285000000001361, Mean: 0.169950500000271, 99th Perc: 0.254000000001213, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.05: Completed Requests: 2000, Min: 0.0820000000003915, Max: 0.295000000001409, Mean: 0.168314000000804, 99th Perc: 0.258000000001232, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.05: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.294999999993024, Mean: 0.168313999996306, 99th Perc: 0.257999999993899, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.05: Completed Requests: 2000, Min: 0.0829999999980373, Max: 0.272999999993544, Mean: 0.165877499996078, 99th Perc: 0.249999999994088, MeanIC: 1, FlowsMissed: 0
<TCP> 0.048: Completed Requests: 2000, Min: 0.0879999999979191, Max: 0.282999999993308, Mean: 0.17043049999597, 99th Perc: 0.255999999993946, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.291999999993095, Mean: 0.168616499996013, 99th Perc: 0.25499999999397, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.291999999993095, Mean: 0.168616499996013, 99th Perc: 0.25499999999397, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.271999999993568, Mean: 0.166645499996059, 99th Perc: 0.241999999994277, MeanIC: 1, FlowsMissed: 0
<TCP> 0.046: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.293999999993048, Mean: 0.169683999995988, 99th Perc: 0.258999999993875, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.046: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.300999999992882, Mean: 0.168873499996007, 99th Perc: 0.253999999993994, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.046: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.300999999992882, Mean: 0.168873499996007, 99th Perc: 0.253999999993994, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.046: Completed Requests: 2000, Min: 0.0829999999980373, Max: 0.280999999993355, Mean: 0.166538499996062, 99th Perc: 0.24399999999423, MeanIC: 1, FlowsMissed: 0
<TCP> 0.044: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.284999999993261, Mean: 0.16998749999598, 99th Perc: 0.249999999994088, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.044: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.293999999993048, Mean: 0.168176499996023, 99th Perc: 0.249999999994088, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.044: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.293999999993048, Mean: 0.168176499996023, 99th Perc: 0.249999999994088, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.044: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.273999999993521, Mean: 0.165855499996078, 99th Perc: 0.24399999999423, MeanIC: 1, FlowsMissed: 0
<TCP> 0.042: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.284999999993261, Mean: 0.170345999995972, 99th Perc: 0.252999999994017, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.042: Completed Requests: 2000, Min: 0.0829999999980373, Max: 0.305999999992764, Mean: 0.168700499996011, 99th Perc: 0.255999999993946, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.042: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.30600000006234, Mean: 0.168700500018839, 99th Perc: 0.255999999993946, MeanIC: 1, FlowsMissed: 1
<Vriksha> 0.042: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.275000000056025, Mean: 0.165411500033699, 99th Perc: 0.241000000049098, MeanIC: 1, FlowsMissed: 0
<TCP> 0.04: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.290000000059081, Mean: 0.170517000034739, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.294000000059896, Mean: 0.17120750003488, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.294000000059896, Mean: 0.17120750003488, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.04: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.272000000055414, Mean: 0.166510500033923, 99th Perc: 0.248000000050524, MeanIC: 1, FlowsMissed: 0
<TCP> 0.038: Completed Requests: 2000, Min: 0.088000000017928, Max: 0.285000000058062, Mean: 0.172182000035078, 99th Perc: 0.260000000052969, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.038: Completed Requests: 2000, Min: 0.0850000000173168, Max: 0.282000000057451, Mean: 0.171139500034866, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.038: Completed Requests: 2000, Min: 0.0850000000173168, Max: 0.282000000057451, Mean: 0.171139500034866, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.038: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.272000000055414, Mean: 0.167344500034093, 99th Perc: 0.245000000049913, MeanIC: 1, FlowsMissed: 0
<TCP> 0.036: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.292000000059488, Mean: 0.173611000035369, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.036: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.294000000059896, Mean: 0.170736500034784, 99th Perc: 0.258000000052562, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.036: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.294000000059896, Mean: 0.170736500034784, 99th Perc: 0.258000000052562, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.036: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.276000000056229, Mean: 0.168123000034251, 99th Perc: 0.252000000051339, MeanIC: 1, FlowsMissed: 0
<TCP> 0.034: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.298000000060711, Mean: 0.173488000035344, 99th Perc: 0.26300000005358, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.034: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.290000000059081, Mean: 0.171498500034939, 99th Perc: 0.260000000052969, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.034: Completed Requests: 1999, Min: 0.0820000000167056, Max: 0.300000000061118, Mean: 0.171567283676774, 99th Perc: 0.259000000052765, MeanIC: 1, FlowsMissed: 1
<Vriksha> 0.034: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.276000000056229, Mean: 0.166804500033983, 99th Perc: 0.243000000049506, MeanIC: 1, FlowsMissed: 0
<TCP> 0.032: Completed Requests: 2000, Min: 0.0900000000183354, Max: 0.295000000060099, Mean: 0.17351450003535, 99th Perc: 0.265000000053988, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.032: Completed Requests: 2000, Min: 0.0810000000165019, Max: 0.289000000058877, Mean: 0.172821500035208, 99th Perc: 0.267000000054395, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.032: Completed Requests: 2000, Min: 0.0810000000165019, Max: 0.289000000058877, Mean: 0.172821500035208, 99th Perc: 0.267000000054395, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0.032: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.283000000057655, Mean: 0.16831350003429, 99th Perc: 0.249000000050728, MeanIC: 1, FlowsMissed: 0
<TCP> 0.03: Completed Requests: 2000, Min: 0.0900000000183354, Max: 0.313000000063766, Mean: 0.175299500035713, 99th Perc: 0.266000000054191, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.03: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.303000000061729, Mean: 0.175200000035693, 99th Perc: 0.269000000054803, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.03: Completed Requests: 1993, Min: 0.0820000000167056, Max: 0.312000000063563, Mean: 0.174814350261403, 99th Perc: 0.261000000053173, MeanIC: 1, FlowsMissed: 11
<Vriksha> 0.03: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.292000000059488, Mean: 0.168563500034341, 99th Perc: 0.252000000051339, MeanIC: 1, FlowsMissed: 0
<TCP> 0.028: Completed Requests: 2000, Min: 0.0850000000173168, Max: 0.303000000061729, Mean: 0.176083000035873, 99th Perc: 0.26300000005358, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.028: Completed Requests: 2000, Min: 0.0850000000173168, Max: 0.319000000064989, Mean: 0.175412000035736, 99th Perc: 0.267000000054395, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.028: Completed Requests: 1996, Min: 0.0850000000173168, Max: 0.319000000064989, Mean: 0.175364729494644, 99th Perc: 0.267000000054395, MeanIC: 1, FlowsMissed: 11
<Vriksha> 0.028: Completed Requests: 2000, Min: 0.0870000000177242, Max: 0.283000000057655, Mean: 0.169063500034443, 99th Perc: 0.240000000048894, MeanIC: 1, FlowsMissed: 0
<TCP> 0.026: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.323000000065804, Mean: 0.177721000036207, 99th Perc: 0.270000000055006, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.026: Completed Requests: 2000, Min: 0.088000000017928, Max: 0.323000000065804, Mean: 0.177112500036083, 99th Perc: 0.272000000055414, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.026: Completed Requests: 1999, Min: 0.088000000017928, Max: 0.325000000066211, Mean: 0.177445722897581, 99th Perc: 0.272000000055414, MeanIC: 1, FlowsMissed: 10
<Vriksha> 0.026: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.268000000054599, Mean: 0.170490000034733, 99th Perc: 0.245000000049913, MeanIC: 1, FlowsMissed: 0
<TCP> 0.024: Completed Requests: 2000, Min: 0.0840000000171131, Max: 0.301000000061322, Mean: 0.179394000036547, 99th Perc: 0.273000000055617, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.024: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.336000000068452, Mean: 0.179914000036653, 99th Perc: 0.275000000056025, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.024: Completed Requests: 1986, Min: 0.0820000000167056, Max: 0.325000000066211, Mean: 0.179749748274284, 99th Perc: 0.283000000057655, MeanIC: 1, FlowsMissed: 31
<Vriksha> 0.024: Completed Requests: 2000, Min: 0.0860000000175205, Max: 0.284000000057858, Mean: 0.170790000034794, 99th Perc: 0.244000000049709, MeanIC: 1, FlowsMissed: 0
<TCP> 0.022: Completed Requests: 2000, Min: 0.0890000000181317, Max: 0.317000000064581, Mean: 0.181998500037078, 99th Perc: 0.275000000056025, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.022: Completed Requests: 2000, Min: 0.0900000000183354, Max: 0.320000000065193, Mean: 0.181930500037064, 99th Perc: 0.280000000057044, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.022: Completed Requests: 1984, Min: 0.0840000000171131, Max: 0.333000000067841, Mean: 0.181551915359568, 99th Perc: 0.277000000056432, MeanIC: 1, FlowsMissed: 28
<Vriksha> 0.022: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.285000000058062, Mean: 0.171315500034902, 99th Perc: 0.252000000051339, MeanIC: 1, FlowsMissed: 0
<TCP> 0.02: Completed Requests: 2000, Min: 0.0980000000199652, Max: 0.334000000068045, Mean: 0.187086500038115, 99th Perc: 0.285000000058062, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.02: Completed Requests: 2000, Min: 0.0820000000167056, Max: 0.343000000069878, Mean: 0.18725900003815, 99th Perc: 0.296000000060303, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.02: Completed Requests: 1971, Min: 0.0960000000195578, Max: 0.329000000067026, Mean: 0.184756468835205, 99th Perc: 0.290000000059081, MeanIC: 1, FlowsMissed: 122
<Vriksha> 0.02: Completed Requests: 2000, Min: 0.0940000000191503, Max: 0.27900000005684, Mean: 0.172374000035117, 99th Perc: 0.247000000050321, MeanIC: 1, FlowsMissed: 0
<TCP> 0.018: Completed Requests: 2000, Min: 0.095000000019354, Max: 0.340000000069267, Mean: 0.18809400003832, 99th Perc: 0.285000000058062, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0.018: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.363000000073953, Mean: 0.191675500039049, 99th Perc: 0.300000000061118, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0.018: Completed Requests: 1894, Min: 0.0900000000183354, Max: 0.366000000074564, Mean: 0.191710665297768, 99th Perc: 0.300000000061118, MeanIC: 1, FlowsMissed: 454
