<TCP> 0: Completed Requests: 2000, Min: 0.064999999999964, Max: 0.249000000000304, Mean: 0.148129500000059, 99th Perc: 0.225999999999875, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 0: Completed Requests: 2000, Min: 0.0649999999998485, Max: 0.256999999999401, Mean: 0.147666999999672, 99th Perc: 0.227999999999469, MeanIC: 1, FlowsMissed: 0
<EDF-P> 0: Completed Requests: 2000, Min: 0.0650000000003104, Max: 0.257000000001227, Mean: 0.147667000000532, 99th Perc: 0.228000000000726, MeanIC: 1, FlowsMissed: 0
<Vriksha> 0: Completed Requests: 2000, Min: 0.0650000000003104, Max: 0.285000000001361, Mean: 0.148077000000707, 99th Perc: 0.234000000001117, MeanIC: 1, FlowsMissed: 0
<SJF-P> 0: Completed Requests: 2000, Min: 0.0650000000003104, Max: 0.255000000001218, Mean: 0.146468500000699, 99th Perc: 0.226000000001079, MeanIC: 1, FlowsMissed: 0
<TCP> 1: Completed Requests: 2000, Min: 0.0670000000003199, Max: 0.252000000001203, Mean: 0.153124000000731, 99th Perc: 0.233000000001113, MeanIC: 1, FlowsMissed: 0
<EDF-NP> 1: Completed Requests: 2000, Min: 0.0670000000003199, Max: 0.273000000001304, Mean: 0.15089100000072, 99th Perc: 0.236000000001127, MeanIC: 0.999482777777778, FlowsMissed: 0
<EDF-P> 1: Completed Requests: 2000, Min: 0.0670000000003199, Max: 0.273000000001304, Mean: 0.15089100000072, 99th Perc: 0.236000000001127, MeanIC: 0.999482777777778, FlowsMissed: 0
<Vriksha> 1: Completed Requests: 2000, Min: 0.0680000000003247, Max: 0.254000000001213, Mean: 0.149715000000578, 99th Perc: 0.228000000001089, MeanIC: 1, FlowsMissed: 0
<SJF-P> 1: Completed Requests: 2000, Min: 0.0669999999984157, Max: 0.251999999994041, Mean: 0.150305499996446, 99th Perc: 0.235999999994419, MeanIC: 0.999944444444444, FlowsMissed: 0
<TCP> 2: Completed Requests: 2000, Min: 0.0709999999983211, Max: 0.267999999993663, Mean: 0.155747499996317, 99th Perc: 0.242999999994254, MeanIC: 0.996803333333333, FlowsMissed: 0
<EDF-NP> 2: Completed Requests: 2000, Min: 0.0689999999983684, Max: 0.277999999993426, Mean: 0.153960499996359, 99th Perc: 0.235999999994419, MeanIC: 0.991185, FlowsMissed: 0
<EDF-P> 2: Completed Requests: 2000, Min: 0.0689999999983684, Max: 0.277999999993426, Mean: 0.153960499996359, 99th Perc: 0.235999999994419, MeanIC: 0.991185, FlowsMissed: 0
<Vriksha> 2: Completed Requests: 2000, Min: 0.0689999999983684, Max: 0.288999999993166, Mean: 0.15309699999638, 99th Perc: 0.234999999994443, MeanIC: 0.996962222222222, FlowsMissed: 0
<SJF-P> 2: Completed Requests: 2000, Min: 0.0689999999983684, Max: 0.261999999993805, Mean: 0.154423499996348, 99th Perc: 0.235999999994419, MeanIC: 0.990785000000001, FlowsMissed: 0
<TCP> 3: Completed Requests: 2000, Min: 0.0729999999982738, Max: 0.280999999993355, Mean: 0.160857499996196, 99th Perc: 0.247999999994136, MeanIC: 0.975874444444444, FlowsMissed: 0
<EDF-NP> 3: Completed Requests: 2000, Min: 0.0709999999983211, Max: 0.279999999993379, Mean: 0.159509499996228, 99th Perc: 0.238999999994348, MeanIC: 0.92552888888889, FlowsMissed: 0
<EDF-P> 3: Completed Requests: 2000, Min: 0.0709999999983211, Max: 0.279999999993379, Mean: 0.159509499996228, 99th Perc: 0.238999999994348, MeanIC: 0.92552888888889, FlowsMissed: 0
<Vriksha> 3: Completed Requests: 2000, Min: 0.0729999999982738, Max: 0.263999999993757, Mean: 0.156279999996304, 99th Perc: 0.235999999994419, MeanIC: 0.971808333333333, FlowsMissed: 0
<SJF-P> 3: Completed Requests: 2000, Min: 0.0709999999983211, Max: 0.262999999993781, Mean: 0.158475499996253, 99th Perc: 0.238999999994348, MeanIC: 0.947026111111111, FlowsMissed: 0
<TCP> 4: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.267999999993663, Mean: 0.167485499996039, 99th Perc: 0.246999999994159, MeanIC: 0.897703888888888, FlowsMissed: 0
